ExternalId	Name	TypeOne	TypeTwo	X	Y	Geometry	Poly15
1278	Všeobecná ambulancia pre deti a dorast, MUDr. Viera Pavlová, Košice-Sídlisko KVP, (PVP s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1279	PEDAMB s.r.o., Košice-Západ, (PEDAMB s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1280	Všeobecná ambulancia pre deti a dorast, MUDr. Alexandra Puzová, Košice-Staré Mesto, (MUDr. Alexandra Puzová)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2434606	48.7249693	POINT (21.243460576773302 48.72496934699083)	POLYGON ((21.235151458692677 48.72137552104933, 21.235118584981695 48.721371819054156, 21.235085321159424 48.72137026685668, 21.235051987570454 48.72137087940513, 21.235018905231215 48.72137365080049, 21.2349863927386 48.72137855435305, 21.234954763201845
1281	Všeobecná ambulancia pre deti a dorast, MUDr. Marta Rubovi?ová, Košice-Dargov.hrdinov, (RUBOPED s. r. o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2824586	48.7395041	POINT (21.282458576876824 48.739504147023396)	POLYGON ((21.274516503607213 48.7359339526959, 21.274514130852985 48.7359232259716, 21.274511785684012 48.73591249659327, 21.274511716402934 48.73591231074445, 21.274511674507874 48.735912121345585, 21.274507723672993 48.73590160011041, 21.27450379989774 
1282	Všeobecná ambulancia pre deti a dorast, MUDr. Iveta Rusenova, Košice-Staré Mesto, (RUSENOVA - MED s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2456565	48.7265656	POINT (21.245656476778912 48.72656564699382)	POLYGON ((21.236460498160984 48.722042533124345, 21.236460701793707 48.72203949978475, 21.236461230967087 48.72203648370889, 21.23646144129972 48.72202848400403, 21.236461977883998 48.72202049096964, 21.23646173117428 48.72201745903023, 21.236461810995024
1283	Všeobecná ambulancia pre deti a dorast, MUDr. Miriam Salzerová, Košice-Západ, (SALZER s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1284	Všeobecná ambulancia pre deti a dorast, MUDr. Katarína Sedliaková, Košice-Juh, (KATSED s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2576085	48.7070256	POINT (21.25760847681738 48.70702564696784)	POLYGON ((21.248033464188516 48.70214751631414, 21.248021680437013 48.702154236093726, 21.24800983032233 48.70216090454847, 21.24800905531384 48.70216143566903, 21.248008210147287 48.702161917631756, 21.247997478210113 48.70216936956476, 21.24798667262903
1285	Všeobecná ambulancia pre deti a dorast, MUDr. Gabriela Semanová, Košice-Sídlisko KVP, (GAVAS s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1286	Všeobecná ambulancia pre deti a dorast, MUDr. Libuše Slávková, Košice-Sídl.?ahanovce, (MUDr. Libuše Slávková)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2674997	48.7549773	POINT (21.267499676831182 48.754977347042384)	POLYGON ((21.259908282838968 48.75225392320803, 21.25989975562562 48.75224986543198, 21.259891457241903 48.75224560526363, 21.259886221804194 48.75224342519918, 21.25988119996784 48.75224103549672, 21.259872112333046 48.75223754993741, 21.259863222425352 
1287	Všeobecná ambulancia pre deti a dorast, MUDr. Jana Snopková, Košice-Západ, (MUDr. Snopková s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1288	Všeobecná ambulancia pre deti a dorast, MUDr. Janka Stašová, Košice-Staré Mesto, (STAJAMED s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2456565	48.7265656	POINT (21.245656476778912 48.72656564699382)	POLYGON ((21.236460498160984 48.722042533124345, 21.236460701793707 48.72203949978475, 21.236461230967087 48.72203648370889, 21.23646144129972 48.72202848400403, 21.236461977883998 48.72202049096964, 21.23646173117428 48.72201745903023, 21.236461810995024
1289	Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Šašalová, Košice-Nad jazerom, (PEDOS s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2844925	48.6895806	POINT (21.284492476896435 48.68958064694921)	POLYGON ((21.27827086690702 48.68476152252494, 21.278292547558305 48.684779169824424, 21.27831681046088 48.68479527612575, 21.278343407220365 48.68480967653721, 21.278372065548254 48.68482222363131, 21.278432690063873 48.68484593830586, 21.278438203834273
1290	Všeobecná ambulancia pre deti a dorast, MUDr. Jana Šefranková, Košice-Západ, (LIŠKOVÁ, MUDr., s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1291	Všeobecná ambulancia pre deti a dorast, MUDr. Eva Ševecová, Košice-Sídl.?ahanovce, (MUDr. Eva Ševecová)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2674997	48.7549773	POINT (21.267499676831182 48.754977347042384)	POLYGON ((21.259908282838968 48.75225392320803, 21.25989975562562 48.75224986543198, 21.259891457241903 48.75224560526363, 21.259886221804194 48.75224342519918, 21.25988119996784 48.75224103549672, 21.259872112333046 48.75223754993741, 21.259863222425352 
