ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
23826;POINT (21.2077340002935 48.7065656047005);21.2077340002935;48.7065656047005;Pod Hrabinou;56;Pod Hrabinou 56;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23831;POINT (21.2076715207909 48.7064828030089);21.2076715207909;48.7064828030089;Pod Hrabinou;54;Pod Hrabinou 54;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
3296;POINT (21.2572708 48.7119598);21.2572708;48.7119598;Tichá;17;Tichá 17;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
23854;POINT (21.2051921327348 48.7074495639544);21.2051921327348;48.7074495639544;Pod Hrabinou;12;Pod Hrabinou 12;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
3313;POINT (21.2546874355331 48.7230711237489);21.2546874355331;48.7230711237489;Mäsiarska;35;Mäsiarska 35;Bytový dom;Košice-Staré Mesto;Staré Mesto;Stredné Mesto;6.0
23859;POINT (21.2052420394271 48.707635829987);21.2052420394271;48.707635829987;Pod Hrabinou;10;Pod Hrabinou 10;Bytový dom;Košice-Myslava;Myslava;Myslava;1.0
29809;POINT (21.2785524 48.7223444);21.2785524;48.7223444;Zemplínska;38;Zemplínska 38;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29808;POINT (21.278688 48.7221105);21.278688;48.7221105;Zemplínska;36A;Zemplínska 36A;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29807;POINT (21.278688 48.7221105);21.278688;48.7221105;Zemplínska;36;Zemplínska 36;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
3306;POINT (21.2543568 48.7200442);21.2543568;48.7200442;Alžbetina;37A;Alžbetina 37A;Rodinný dom;Košice-Staré Mesto;Staré Mesto;Stredné Mesto;1.0
29810;POINT (21.2791376 48.7220961);21.2791376;48.7220961;Zemplínska;36B;Zemplínska 36B;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29804;POINT (21.2789254 48.7225008);21.2789254;48.7225008;Zemplínska;34;Zemplínska 34;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
3298;POINT (21.25705793 48.71226852);21.25705793;48.71226852;Tichá;13;Tichá 13;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
29803;POINT (21.2788306 48.7226531);21.2788306;48.7226531;Zemplínska;32;Zemplínska 32;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
23853;POINT (21.2054491633904 48.7074687831396);21.2054491633904;48.7074687831396;Pod Hrabinou;14;Pod Hrabinou 14;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
29811;POINT (21.27827 48.7222898);21.27827;48.7222898;Zemplínska;39;Zemplínska 39;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
23832;POINT (21.2075269708696 48.7066593679025);21.2075269708696;48.7066593679025;Pod Hrabinou;50;Pod Hrabinou 50;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23841;POINT (21.2066832392303 48.7067852078039);21.2066832392303;48.7067852078039;Pod Hrabinou;40A;Pod Hrabinou 40A;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23833;POINT (21.2075269708696 48.7066593679025);21.2075269708696;48.7066593679025;Pod Hrabinou;50A;Pod Hrabinou 50A;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
3343;POINT (21.2580304 48.7125117);21.2580304;48.7125117;Šoltésovej;2;Šoltésovej 2;Rodinný dom;Košice-Juh;Juh;Južné Mesto;1.0
23835;POINT (21.2073540631906 48.7067541971516);21.2073540631906;48.7067541971516;Pod Hrabinou;48;Pod Hrabinou 48;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23836;POINT (21.2071326314358 48.7068189433222);21.2071326314358;48.7068189433222;Pod Hrabinou;44;Pod Hrabinou 44;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23837;POINT (21.2069516330706 48.7068165508818);21.2069516330706;48.7068165508818;Pod Hrabinou;42;Pod Hrabinou 42;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
29817;POINT (21.2772642 48.7213214);21.2772642;48.7213214;Ovsená;1;Ovsená 1;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
23839;POINT (21.2069210174504 48.7069903422872);21.2069210174504;48.7069903422872;Pod Hrabinou;38;Pod Hrabinou 38;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23840;POINT (21.2066832392303 48.7067852078039);21.2066832392303;48.7067852078039;Pod Hrabinou;40;Pod Hrabinou 40;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23842;POINT (21.2068014772115 48.7070256594752);21.2068014772115;48.7070256594752;Pod Hrabinou;36;Pod Hrabinou 36;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
